school,schoolYear,language,grade0,grade1,grade2,grade3,grade4,grade5,grade6
Herndon  ES,2015-2016,French,0,0,0,38,31,21,22
Kent Gardens ES,2015-2016,French,0,75,77,73,74,64,64
Orange Hunt ES,2015-2016,German,0,52,52,39,40,46,41
Fox Mill ES,2015-2016,Japanese,0,52,47,42,37,32,38
Great Falls ES,2015-2016,Japanese,0,27,22,24,16,13,19
Colin Powell ES,2015-2016,Korean,49,42,37,32,0,0,0
Bailey's ES,2015-2016,Spanish,44,88,88,81,54,40,0
Braddock ES,2015-2016,Spanish,23,34,43,19,0,0,0
Glasgow MS,2015-2016,Spanish,0,0,0,0,0,0,22
Groveton ES,2015-2016,Spanish,44,43,43,0,0,0,0
Fort Hunt ES,2015-2016,Spanish,0,75,69,51,50,50,31
Herndon  ES,2015-2016,Spanish,47,72,65,0,0,0,0
Lake Anne ES,2015-2016,Spanish,47,49,47,45,37,38,44
Laurel Ridge ES,2015-2016,Spanish,53,52,52,43,39,41,33
London Towne ES,2015-2016,Spanish,46,50,45,43,30,36,32
Ravensworth ES,2015-2016,Spanish,0,51,48,37,24,20,23
Rose Hill ES,2015-2016,Spanish,48,44,46,35,23,33,37
Washington Mill ES,2015-2016,Spanish,46,38,35,0,0,0,0
Herndon  ES,2014-2015,French,0,0,47,38,22,23,25
Kent Gardens ES,2014-2015,French,0,75,76,78,66,65,56
Orange Hunt ES,2014-2015,German,0,52,49,42,49,42,40
Fox Mill ES,2014-2015,Japanese,0,52,50,40,35,40,34
Great Falls ES,2014-2015,Japanese,0,25,25,23,16,20,16
Colin Powell ES,2014-2015,Korean,42,44,39,0,0,0,0
Bailey's ES,2014-2015,Spanish,44,88,87,57,45,40,0
Braddock ES,2014-2015,Spanish,44,46,41,0,0,0,0
Glasgow MS,2014-2015,Spanish,0,0,0,0,0,0,22
Groveton ES,2014-2015,Spanish,40,44,0,0,0,0,0
Fort Hunt ES,2014-2015,Spanish,0,65,66,49,48,33,35
Herndon  ES,2014-2015,Spanish,70,70,0,0,0,0,0
Lake Anne ES,2014-2015,Spanish,48,48,46,39,45,51,37
