name,url,language,schoolType,immersionType
Herndon Elementary,http://www.fcps.edu/HerndonES/,French,Elementary,World Languages Immersion
Kent Gardens Elementary,http://www.fcps.edu/KentGardensES/,French,Elementary,World Languages Immersion
Herndon Middle ,http://www.fcps.edu/HerndonMS/,French,Middle ,World Languages Immersion
Longfellow Middle,http://www.fcps.edu/LongfellowMS/,French,Middle ,World Languages Immersion
Orange Hunt Elementary,http://www.fcps.edu/OrangeHuntES/,German,Elementary,World Languages Immersion
Irving Middle,http://www.fcps.edu/IrvingMS/,German,Middle ,World Languages Immersion
Great Falls Elementary,http://www.fcps.edu/GreatFallsES/,Japanese,Elementary,World Languages Immersion
Fox Mill Elementary,http://www.fcps.edu/FoxMillES/,Japanese,Elementary,World Languages Immersion
Cooper Middle,http://www.fcps.edu/CooperMS/,Japanese,Middle ,World Languages Immersion
Rachel Carson Middle,http://www.fcps.edu/RachelCarsonMS/,Japanese,Middle ,World Languages Immersion
Fort Hunt Elementary,http://www.fcps.edu/FortHuntES/,Spanish,Elementary,World Languages Immersion
Laurel Ridge Elementary,http://www.fcps.edu/LaurelRidgeES/,Spanish,Elementary,World Languages Immersion
Ravensworth Elementary,http://www.fcps.edu/RavensworthES/,Spanish,Elementary,World Languages Immersion
Sandburg Middle,http://www.fcps.edu/SandburgMS/,Spanish,Middle ,World Languages Immersion
Robinson Secondary,http://www.fcps.edu/RobinsonSS/,Spanish,Middle ,World Languages Immersion
Lake Braddock Secondary,http://www.fcps.edu/LakeBraddockSS/,Spanish,Middle ,World Languages Immersion
Powell ES,http://www.fcps.edu/powelles/,Korean,Elementary,Two-Way Immersion
Bailey's Elementary,http://www.fcps.edu/BaileysES/,Spanish,Elementary,Two-Way Immersion
Braddock Elementary,http://www.fcps.edu/BraddockES/,Spanish,Elementary,Two-Way Immersion
Glascow Middle,http://www.fcps.edu/GlasgowMS/,Spanish,Middle ,Two-Way Immersion
Carl Sandburg Middle,http://www.fcps.edu/SandburgMS/,Spanish,Middle ,Two-Way Immersion
Herndon Elementary,http://www.fcps.edu/HerndonES/,Spanish,Elementary,Two-Way Immersion
Lake Anne Elementary,http://www.fcps.edu/LakeAnneES/,Spanish,Elementary,Two-Way Immersion
Langston Hughes Middle,http://www.fcps.edu/HughesMS/,Spanish,Middle ,Two-Way Immersion
Ormond Stone Middle,http://www.fcps.edu/StoneMS/,Spanish,Middle,Two-Way Immersion
Rose Hill Elementary,http://www.fcps.edu/RoseHillES/,Spanish,Elementary,Two-Way Immersion
Hayfield Secondary,http://www.fcps.edu/HayfieldSS/,Spanish,Middle,Two-Way Immersion
Washington Milll Elementary,http://www.fcps.edu/WashingtonMillES/,Spanish,Elementary,Two-Way Immersion
Mark Twain Middle,http://www.fcps.edu/TwainMS/,Spanish,Middle,Two-Way Immersion
Walt Whitman Middle,http://www.fcps.edu/WhitmanMS/,Spanish,Middle,Two-Way Immersion
London Towne Elementary,http://www.fcps.edu/LondonTowneES/,Spanish,Elementary,Two-Way Immersion
