name,url,language,schoolType,immersionType
Herndon ES,http://www.fcps.edu/HerndonES/,French,Elementary,World Languages Immersion
Kent Gardens,http://www.fcps.edu/KentGardensES/,French,Elementary,World Languages Immersion
Herndon MS,http://www.fcps.edu/HerndonMS/,French,Middle ,World Languages Immersion
Longfellow,http://www.fcps.edu/LongfellowMS/,French,Middle ,World Languages Immersion
Orange Hunt,http://www.fcps.edu/OrangeHuntES/,German,Elementary,World Languages Immersion
Irving,http://www.fcps.edu/IrvingMS/,German,Middle ,World Languages Immersion
Great Falls,http://www.fcps.edu/GreatFallsES/,Japanese,Elementary,World Languages Immersion
Fox Mill,http://www.fcps.edu/FoxMillES/,Japanese,Elementary,World Languages Immersion
Cooper,http://www.fcps.edu/CooperMS/,Japanese,Middle ,World Languages Immersion
Rachel Carson,http://www.fcps.edu/RachelCarsonMS/,Japanese,Middle ,World Languages Immersion
Fort Hunt,http://www.fcps.edu/FortHuntES/,Spanish,Elementary,World Languages Immersion
Laurel Ridge,http://www.fcps.edu/LaurelRidgeES/,Spanish,Elementary,World Languages Immersion
Ravensworth,http://www.fcps.edu/RavensworthES/,Spanish,Elementary,World Languages Immersion
Sandburg,http://www.fcps.edu/SandburgMS/,Spanish,Middle ,World Languages Immersion
Robinson,http://www.fcps.edu/RobinsonSS/,Spanish,Middle ,World Languages Immersion
Lake Braddock,http://www.fcps.edu/LakeBraddockSS/,Spanish,Middle ,World Languages Immersion
Powell,http://www.fcps.edu/powelles/,Korean,Elementary,Two-Way Immersion
Bailey's,http://www.fcps.edu/BaileysES/,Spanish,Elementary,Two-Way Immersion
Braddock,http://www.fcps.edu/BraddockES/,Spanish,Elementary,Two-Way Immersion
Glascow,http://www.fcps.edu/GlasgowMS/,Spanish,Middle ,Two-Way Immersion
Carl Sandburg,http://www.fcps.edu/SandburgMS/,Spanish,Middle ,Two-Way Immersion
Herndon ES,http://www.fcps.edu/HerndonES/,Spanish,Elementary,Two-Way Immersion
Lake Anne,http://www.fcps.edu/LakeAnneES/,Spanish,Elementary,Two-Way Immersion
Langston Hughes, ,Spanish,Middle ,Two-Way Immersion
Ormond Stone,http://www.fcps.edu/StoneMS/,Spanish,Middle,Two-Way Immersion
Rose Hill,http://www.fcps.edu/RoseHillES/,Spanish,Elementary,Two-Way Immersion
Hayfield,http://www.fcps.edu/HayfieldSS/,Spanish,Middle,Two-Way Immersion
Washington Mill,http://www.fcps.edu/WashingtonMillES/,Spanish,Elementary,Two-Way Immersion
Mark Twain,http://www.fcps.edu/TwainMS/,Spanish,Middle,Two-Way Immersion
Walt Whitman,http://www.fcps.edu/WhitmanMS/,Spanish,Middle,Two-Way Immersion
London Towne,http://www.fcps.edu/LondonTowneES/,Spanish,Elementary,Two-Way Immersion
